From,Status,Talking
Adriano Fonseca - Vendas Diretas (7256),Unanswered,00:19:14
Adriano Fonseca - Vendas Diretas (7859),Answered,00:36:00
Adriano Fonseca - Vendas Diretas (4271),Unanswered,00:55:45
Adriano Fonseca - Vendas Diretas (5096),Answered,00:09:26
Adriano Fonseca - Vendas Diretas (8873),Answered,00:43:46
Adriano Fonseca - Vendas Diretas (2680),Unanswered,00:37:51
Adriano Fonseca - Vendas Diretas (9452),Answered,00:57:44
Adriano Fonseca - Vendas Diretas (2374),Answered,00:19:27
Adriano Fonseca - Vendas Diretas (8361),Unanswered,00:18:37
Adriano Fonseca - Vendas Diretas (8167),Answered,00:10:03
Adriano Fonseca - Vendas Diretas (8391),Answered,00:15:09
Adriano Fonseca - Vendas Diretas (7797),Answered,00:01:49
Adriano Fonseca - Vendas Diretas (9224),Answered,00:27:03
Adriano Fonseca - Vendas Diretas (7326),Answered,00:16:05
Adriano Fonseca - Vendas Diretas (4678),Answered,00:25:35
Beatriz Cavalcanti - Vendas Diretas (6493),Answered,00:06:45
Beatriz Cavalcanti - Vendas Diretas (1627),Answered,00:09:23
Beatriz Cavalcanti - Vendas Diretas (8740),Unanswered,00:56:38
Beatriz Cavalcanti - Vendas Diretas (3273),Unanswered,00:56:44
Beatriz Cavalcanti - Vendas Diretas (8349),Unanswered,00:32:01
Beatriz Cavalcanti - Vendas Diretas (2298),Answered,00:00:21
Beatriz Cavalcanti - Vendas Diretas (4533),Answered,00:17:28
Beatriz Cavalcanti - Vendas Diretas (9647),Answered,00:37:27
César Drummond - Vendas Diretas (5720),Answered,00:52:59
César Drummond - Vendas Diretas (2996),Answered,00:20:33
César Drummond - Vendas Diretas (7878),Unanswered,00:16:16
César Drummond - Vendas Diretas (8489),Answered,00:54:11
Débora Nunes - Vendas Diretas (9189),Unanswered,00:57:07
Débora Nunes - Vendas Diretas (1269),Unanswered,00:36:35
Débora Nunes - Vendas Diretas (4963),Unanswered,00:35:10
Débora Nunes - Vendas Diretas (5772),Answered,00:09:48
Fábio Queiroz - Vendas Diretas (6780),Answered,00:41:58
Fábio Queiroz - Vendas Diretas (7825),Answered,00:38:57
Fábio Queiroz - Vendas Diretas (2402),Unanswered,00:45:21
Helena Borba - Vendas Diretas (9618),Unanswered,00:04:37
Helena Borba - Vendas Diretas (9316),Unanswered,00:34:38
Helena Borba - Vendas Diretas (7397),Answered,00:01:23
Helena Borba - Vendas Diretas (7338),Answered,00:02:58
Helena Borba - Vendas Diretas (1266),Answered,00:17:18
Helena Borba - Vendas Diretas (2106),Answered,00:53:49
Helena Borba - Vendas Diretas (2698),Unanswered,00:16:27
Helena Borba - Vendas Diretas (6447),Answered,00:50:11
Iago Monteiro - Vendas Diretas (9945),Answered,00:24:03
Iago Monteiro - Vendas Diretas (3868),Unanswered,00:55:32
Iago Monteiro - Vendas Diretas (8840),Unanswered,00:31:43
Juliana Prado - Vendas Diretas (3209),Answered,00:55:23
Juliana Prado - Vendas Diretas (8498),Answered,00:48:52
Juliana Prado - Vendas Diretas (4302),Answered,00:20:01
Juliana Prado - Vendas Diretas (4268),Answered,00:54:00
Juliana Prado - Vendas Diretas (6080),Unanswered,00:21:32
Kleber Tavares - Vendas Diretas (9897),Answered,00:55:39
Kleber Tavares - Vendas Diretas (1599),Unanswered,00:17:17
Kleber Tavares - Vendas Diretas (5687),Answered,00:13:02
Kleber Tavares - Vendas Diretas (1783),Unanswered,00:58:51
